config,seed,n_points_total,n_points_cv,cv_time_s,ram_peak_mb,f1_macro,f1_floor,f1_cargo,f1_vehicle,f1_person,f1_pallet
A_baseline,42,8415207,2524310,216.1,1934.6,0.8405,0.9685,0.9272,0.6738,0.8134,0.8198
C_contextual,42,6968903,2090412,128.6,2316.6,0.8151,0.9453,0.9072,0.6184,0.8222,0.7825
